site,genome,hits,gene_counts,Completeness,Contamination,domain,phylum,class,order,family,genus,species
SW,36,94,4127,70.57,4.55,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,UBA6488,NA
SW,37,72,5818,68.74,2.27,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
SW,38,71,6312,67.7,5.62,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,NA,NA
SW,39,35,1665,66.17,5.17,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
SW,40,20,1763,64.88,1.95,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Ga0074140,NA,NA
SW,41,5,800,64.47,0.55,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,NA
SW,42,28,1250,62.78,0.26,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,UBA11403,NA
SW,43,63,4096,62.58,1.15,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,NA,NA
SW,44,10,1088,62.28,0,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,NA
SW,45,42,2301,61.93,1.14,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,UBA11155,NA
SW,46,88,2654,61.15,0.68,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,NA
SW,47,26,1291,60.34,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Nucleicultricaceae,Nucleicultrix,Nucleicultrix amoebiphila
SW,48,40,2044,59.52,0.48,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UBA9320,NA,NA
SW,49,6,903,59.13,0,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,NA
SW,50,99,3599,57.73,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA,NA
SW,51,57,1646,57.25,8.83,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,NA,NA
SW,52,37,1795,57.01,1.22,Bacteria,Bacteroidota,Bacteroidia,AKYH767,2-12-FULL-35-15,NA,NA
SW,53,22,1040,56.9,0,Bacteria,Proteobacteria,Gammaproteobacteria,UBA6002,UBA6002,UBA6002,NA
SW,54,17,1290,56.73,1.69,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,NA,NA
SW,55,10,1449,56.71,1.02,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,NA
SW,56,9,1363,55.86,2.61,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,NA,NA
SW,57,51,1698,55.17,3.45,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hylemonella,NA
SW,58,40,2382,55.07,0,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,OLB17,NA
SW,59,39,1802,54.62,0.84,Bacteria,Dadabacteria,UBA1144,UBA2774,UBA2774,NA,NA
SW,60,71,2226,54.41,1.82,Bacteria,Proteobacteria,Gammaproteobacteria,UBA5335,UBA5335,UBA5335,GCA_002862435.1
SW,61,72,2399,51.93,1.41,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,NA
SW,62,46,2983,50.06,1.49,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
SW,63,94,2408,48.27,0.98,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SG8-41,NA,NA
SW,64,41,3145,47.65,9.2,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Thermoguttaceae,NA,NA
SW,65,63,2221,46.55,5.17,Bacteria,Proteobacteria,Alphaproteobacteria,SL26,SL26,UBA11222,NA
SW,66,37,1977,45.27,4.29,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,NA,NA,NA
SW,67,14,1407,42.3,0,Bacteria,Bdellovibrionota,Bacteriovoracia,UBA1018,UBA1018,NA,NA
SW,68,17,1226,41.98,0.14,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,NA,NA
SW,69,12,968,40,1.72,Bacteria,Proteobacteria,Alphaproteobacteria,UBA9655,UBA9655,UBA9655,NA
SW,70,50,2933,39.69,2.7,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,NA,NA,NA
SW,71,8,1176,39.64,2.88,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,NA,NA
SW,72,66,2960,38.97,6.03,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,HB2-32-21,NA
SW,73,28,1741,38.97,4.31,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
SW,74,79,4434,38.1,6.84,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,NA,NA
SW,75,21,1082,36.04,0.91,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,OLB14,NA
SW,76,18,1341,30.86,3.51,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,UBA6177,NA,NA
SW,77,23,809,29.25,7.62,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UTBCD1,NA
SW,78,3,390,27.91,5.74,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA,NA
SW,79,18,1510,27.19,0,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA7805,NA,NA
SW,80,15,1059,25.86,5.17,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
SW,81,85,4974,24.62,2.96,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,UBA6488,GCA_002083555.1
SW,82,4,360,23.73,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA,NA
SW,83,19,1179,23.69,2.68,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,NA,NA
SW,84,2,634,23.24,1.22,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,NA
SW,85,17,1036,21.68,1.03,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,UBA1487,NA
SW,86,82,2972,21.55,0,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
SW,87,4,215,21.05,9.01,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA,NA
SW,88,12,426,21.03,0.1,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,21-14-0-20-64-6,NA
SW,89,71,2009,20.69,5.17,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
SW,90,62,2759,20.44,1.1,Bacteria,Acidobacteriota,Luteitaleia,NA,NA,NA,NA
SW,91,12,657,18.97,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus,NA
SW,92,34,1318,18.97,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,Aquabacterium parvum
SW,93,16,1376,18.04,0.65,Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Nucleicultricaceae,Nucleicultrix,Nucleicultrix amoebiphila
WC,1,67,4675,88.49,2.08,Bacteria,Cyanobacteriota,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,NA,NA
WC,2,11,1120,81.94,0.93,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,3,89,3737,74.06,0.74,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA10320,NA
WC,4,108,3189,71.31,12.65,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas,NA
WC,5,43,2305,66.38,1.72,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Solitaleaceae,NA,NA
WC,6,43,1335,65.31,2.76,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polynucleobacter,NA
WC,7,11,1016,64.95,0.85,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,8,8,938,61.72,0.37,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,SM23-39,NA,NA
WC,9,36,1673,60.44,1.17,Bacteria,Omnitrophota,UBA9649,2-02-FULL-51-18,NA,NA,NA
WC,10,22,2506,59.73,8.75,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas,NA
WC,11,4,1042,58.95,0,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,12-FULL-43-12b,NA
WC,12,5,925,58.15,0,Bacteria,Patescibacteria,Berkelbacteria,NA,NA,NA,NA
WC,13,4,1462,58.09,6.77,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,NA,NA
WC,14,12,911,58.04,1.71,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,NA,NA
WC,15,14,1134,56.87,0,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,UBA10103,NA
WC,16,37,2397,52.72,0.33,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Chamaesiphonaceae,Chamaesiphon,NA
WC,17,50,1769,50.15,1.03,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter_A,NA
WC,18,12,662,46.55,0,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,NA
WC,19,4,757,45.39,0.8,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,20,60,2785,45.33,7.57,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,NA,NA
WC,21,8,1014,44.85,3.33,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,22,3,786,44.11,0.68,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA1006,NA,NA
WC,23,10,812,43.29,0.47,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,UBA10103,NA
WC,25,9,674,42.95,0.8,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,26,3,521,41.38,0.57,Bacteria,Patescibacteria,ABY1,Uhrbacterales,UBA9934,UBA11707,NA
WC,27,32,1645,39.7,2.15,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,NA,NA
WC,28,2,539,39.42,0.85,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Taylorbacteraceae,UBA6065,NA
WC,29,22,920,37.93,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,NA
WC,31,27,1022,37.07,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polynucleobacter,NA
WC,32,2,589,36.06,0,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,1-14-0-10-45-20,NA
WC,33,22,1397,35.9,0.23,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
WC,34,10,612,35.85,0.81,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,AcAMD-5,NA,NA
WC,35,21,1828,35.19,2.35,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,OSC116,NA,NA
WC,36,11,631,34.73,1.72,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,2-01-FULL-51-21,NA
WC,37,1,412,33.08,0,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,38,1,420,32.52,0,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Taylorbacteraceae,NA,NA
WC,39,7,834,29.38,0,Bacteria,Patescibacteria,Paceibacteria,UBA9983,GCA-2401445,NA,NA
WC,40,1,464,28.48,2.25,Bacteria,Patescibacteria,Paceibacteria,UBA9983,GCA-2401445,NA,NA
WC,41,13,381,28.07,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Rhodoluna,NA
WC,42,9,487,27.47,0,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,NA
WC,43,5,848,27.41,1.19,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Taylorbacteraceae,NA,NA
WC,44,12,598,24.16,0,Bacteria,Omnitrophota,UBA9649,2-02-FULL-51-18,NA,NA,NA
WC,45,13,1327,24.14,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA
WC,46,1,334,23.88,1.82,Bacteria,Patescibacteria,Paceibacteria,UBA9983,NA,NA,NA
WC,47,1,249,21.61,1.12,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,NA,NA
WC,48,10,952,21.61,0.34,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ga0077559,NA
WC,49,4,1586,21.57,6.71,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,GCA-2402195,NA
WC,50,9,287,20.69,1.72,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,NA
WC,52,14,1042,19.12,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
WC,53,1,457,19.04,0,Bacteria,Patescibacteria,Gracilibacteria,BD1-5,UBA6164,GCA-2747975,NA
WC,54,15,4472,16.88,1.72,Bacteria,Bacteroidota,Bacteroidia,AKYH767-A,2013-40CM-41-45,NA,NA
WC,55,13,514,16.38,0,Bacteria,Omnitrophota,Omnitrophia,Omnitrophales,GWA2-52-8,NA,NA
WC,56,6,441,16.22,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,UBA2334,NA
WC,57,2,654,15.91,0,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,NA,NA
WC,58,18,946,14.81,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhodoferax,NA
WC,59,20,683,14.66,1.38,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Brachymonas,NA
WC,60,13,942,13.79,1.72,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
